---------------------------...
DATE: 2015-04-13
L_MIN: 30
L_MAX: 2508
FILENAME: COM_PowerSpect_CMB_R2.01.fits
PROCVER: DX11d
+-------+------------+-----------+
| ELL   | D_ELL      | ERR       |
+-------+------------+-----------+
| 30    | 1096.176   | 278.186   |
| 31    | 788.986    | 277.345   |
| 32    | 1550.618   | 276.715   |
| 33    | 1096.446   | 276.267   |
| 34    | 987.33     | 275.997   |
| 35    | 748.199    | 275.876   |
| 36    | 1119.384   | 275.88    |
| 37    | 1521.577   | 276.031   |
| 38    | 1293.957   | 276.302   |
| 39    | 1267.823   | 276.666   |
| 40    | 1726.613   | 277.141   |
| 41    | 1415.723   | 277.704   |
| 42    | 1407.433   | 278.336   |
| 43    | 1257.749   | 279.029   |
| 44    | 1411.287   | 279.778   |
| 45    | 1086.264   | 280.611   |
| 46    | 1167.173   | 281.483   |
| 47    | 1945.625   | 282.369   |
| 48    | 1004.801   | 283.297   |
| 49    | 1719.975   | 284.278   |
| 50    | 1704.525   | 285.276   |
| 51    | 1047.183   | 286.279   |
| 52    | 1592.465   | 287.3     |
| 53    | 1127.526   | 288.379   |
| 54    | 1178.98    | 289.476   |
| 55    | 1598.655   | 290.577   |
| 56    | 1540.953   | 291.717   |
| 57    | 1707.266   | 292.904   |
| 58    | 1731.496   | 294.13    |
| 59    | 1467.22    | 295.383   |
| 60    | 1797.089   | 296.66    |
| 61    | 1352.036   | 298.004   |
| 62    | 2212.413   | 299.386   |
| 63    | 1756.353   | 300.847   |
| 64    | 1248.122   | 302.35    |
| 65    | 1851.959   | 303.907   |
| 66    | 1625.703   | 305.508   |
| 67    | 1674.692   | 307.156   |
| 68    | 1774.389   | 308.838   |
| 69    | 2272.156   | 310.558   |
| 70    | 1877.713   | 312.317   |
| 71    | 1791.546   | 314.106   |
| 72    | 1529.218   | 315.929   |
| 73    | 2716.885   | 317.777   |
| 74    | 2019.563   | 319.66    |
| 75    | 1885.369   | 321.563   |
| 76    | 1891.7     | 323.492   |
| 77    | 1928.174   | 325.449   |
| 78    | 1670.874   | 327.432   |
| 79    | 1492.009   | 329.444   |
| 80    | 2311.18    | 331.485   |
| 81    | 2048.104   | 333.548   |
| 82    | 2812.489   | 335.643   |
| 83    | 2156.383   | 337.76    |
| 84    | 1552.586   | 339.91    |
| 85    | 2287.951   | 342.083   |
| 86    | 2544.676   | 344.273   |
| 87    | 2169.713   | 346.485   |
| 88    | 1788.165   | 348.72    |
| 89    | 2923.684   | 350.984   |
| 90    | 2256.344   | 353.261   |
| 91    | 2420.611   | 355.56    |
| 92    | 2577.81    | 357.871   |
| 93    | 2839.689   | 360.212   |
| 94    | 2170.512   | 362.558   |
| 95    | 2161.933   | 364.935   |
| 96    | 2386.462   | 367.315   |
| 97    | 2657.205   | 369.713   |
| 98    | 2215.87    | 372.124   |
| 99    | 3005.5     | 374.558   |
| 100   | 2922.944   | 377.001   |
| 101   | 2790.997   | 379.455   |
| 102   | 2914.216   | 381.92    |
| 103   | 2633.627   | 384.405   |
| 104   | 3048.92    | 386.888   |
| 105   | 2284.035   | 389.392   |
| 106   | 2800.951   | 391.905   |
| 107   | 3333.309   | 394.423   |
| 108   | 3928.998   | 396.946   |
| 109   | 3033.088   | 399.471   |
| 110   | 3428.342   | 402.017   |
| 111   | 2936.308   | 404.556   |
| 112   | 3050.197   | 407.11    |
| 113   | 2324.539   | 409.655   |
| 114   | 2213.747   | 412.211   |
| 115   | 3342.905   | 414.774   |
| 116   | 4325.806   | 417.341   |
| 117   | 4435.381   | 419.907   |
| 118   | 3454.717   | 422.471   |
| 119   | 3149.621   | 425.035   |
| 120   | 2658.988   | 427.611   |
| 121   | 4129.985   | 430.162   |
| 122   | 3439.975   | 432.722   |
| 123   | 4112.952   | 435.274   |
| 124   | 2956.087   | 437.823   |
| 125   | 3271.624   | 440.373   |
| 126   | 3326.451   | 442.88    |
| 127   | 3685.647   | 445.419   |
| 128   | 3809.265   | 447.93    |
| 129   | 2905.447   | 450.428   |
| 130   | 4019.952   | 452.918   |
| 131   | 3230.864   | 455.392   |
| 132   | 2895.293   | 457.868   |
| 133   | 3895.38    | 460.314   |
| 134   | 3576.165   | 462.749   |
| 135   | 4313.821   | 465.19    |
| 136   | 4665.127   | 467.581   |
| 137   | 4061.542   | 469.972   |
| 138   | 3947.835   | 472.334   |
| 139   | 4220.89    | 474.681   |
| 140   | 3812.155   | 477.011   |
| 141   | 4201.613   | 479.299   |
| 142   | 4509.441   | 481.589   |
| 143   | 4759.355   | 483.839   |
| 144   | 3898.693   | 486.076   |
| 145   | 4270.562   | 488.285   |
| 146   | 4237.943   | 490.48    |
| 147   | 4689.131   | 492.634   |
| 148   | 3749.083   | 494.769   |
| 149   | 3392.011   | 496.874   |
| 150   | 4537.693   | 498.959   |
| 151   | 4208.377   | 501.004   |
| 152   | 4587.16    | 503.021   |
| 153   | 4580.11    | 505.013   |
| 154   | 3937.896   | 506.962   |
| 155   | 5310.256   | 508.889   |
| 156   | 4328.075   | 510.78    |
| 157   | 4612.317   | 512.636   |
| 158   | 5530.67    | 514.445   |
| 159   | 4673.818   | 516.234   |
| 160   | 5309.506   | 517.98    |
| 161   | 4703.674   | 519.694   |
| 162   | 4598.4     | 521.357   |
| 163   | 4341.599   | 522.996   |
| 164   | 4712.795   | 524.585   |
| 165   | 4781.894   | 526.141   |
| 166   | 5336.741   | 527.658   |
| 167   | 5622.117   | 529.12    |
| 168   | 5493.252   | 530.558   |
| 169   | 4514.269   | 531.933   |
| 170   | 4195.925   | 533.294   |
| 171   | 4588.038   | 534.58    |
| 172   | 5200.559   | 535.847   |
| 173   | 5150.113   | 537.055   |
| 174   | 4884.895   | 538.217   |
| 175   | 5087.838   | 539.339   |
| 176   | 5059.025   | 540.404   |
| 177   | 4663.558   | 541.435   |
| 178   | 4516.49    | 542.41    |
| 179   | 6333.253   | 543.337   |
| 180   | 5213.021   | 544.218   |
| 181   | 3898.131   | 545.048   |
| 182   | 4355.01    | 545.84    |
| 183   | 4651.567   | 546.578   |
| 184   | 5558.543   | 547.25    |
| 185   | 6385.579   | 547.89    |
| 186   | 5751.013   | 548.473   |
| 187   | 5156.655   | 549.006   |
| 188   | 6335.876   | 549.485   |
| 189   | 6294.836   | 549.905   |
| 190   | 5952.203   | 550.287   |
| 191   | 5424.575   | 550.6     |
| 192   | 6345.196   | 550.872   |
| 193   | 5894.873   | 551.097   |
| 194   | 5502.003   | 551.254   |
| 195   | 4017.847   | 551.375   |
| 196   | 5551.147   | 551.434   |
| 197   | 5601.363   | 551.46    |
| 198   | 5645.342   | 551.413   |
| 199   | 5319.975   | 551.313   |
| 200   | 5223.444   | 551.169   |
| 201   | 4897.989   | 550.961   |
| 202   | 6125.78    | 550.714   |
| 203   | 5680.527   | 550.392   |
| 204   | 5325.455   | 550.033   |
| 205   | 6146.303   | 549.619   |
| 206   | 5328.54    | 549.152   |
| 207   | 5038.366   | 548.629   |
| 208   | 5723.138   | 548.061   |
| 209   | 4618.913   | 547.441   |
| 210   | 5414.302   | 546.774   |
| 211   | 5499.707   | 546.038   |
| 212   | 5867.286   | 545.262   |
| 213   | 5880.065   | 544.433   |
| 214   | 5260.755   | 543.557   |
| 215   | 6633.606   | 542.615   |
| 216   | 5778.803   | 541.629   |
| 217   | 5611.984   | 540.591   |
| 218   | 6248.983   | 539.507   |
| 219   | 5666.534   | 538.367   |
| 220   | 6346.05    | 537.175   |
| 221   | 5885.737   | 535.937   |
| 222   | 5753.105   | 534.645   |
| 223   | 5555.902   | 533.314   |
| 224   | 6096.063   | 531.923   |
| 225   | 5104.303   | 530.497   |
| 226   | 5936.664   | 529.01    |
| 227   | 6143.502   | 527.492   |
| 228   | 4730.305   | 525.911   |
| 229   | 5349.855   | 524.301   |
| 230   | 5653.927   | 522.631   |
| 231   | 5764.313   | 520.925   |
| 232   | 6645.258   | 519.167   |
| 233   | 6407.009   | 517.366   |
| 234   | 4523.516   | 515.522   |
| 235   | 6014.618   | 513.637   |
| 236   | 6074.846   | 511.71    |
| 237   | 5551.843   | 509.73    |
| 238   | 5922.611   | 507.716   |
| 239   | 5497.459   | 505.661   |
| 240   | 6048.944   | 503.565   |
| 241   | 5846.277   | 501.43    |
| 242   | 5397.502   | 499.253   |
| 243   | 5682.936   | 497.043   |
| 244   | 5187.02    | 494.791   |
| 245   | 5808.621   | 492.503   |
| 246   | 5729.268   | 490.184   |
| 247   | 5620.163   | 487.82    |
| 248   | 6011.119   | 485.426   |
| 249   | 4456.113   | 482.997   |
| 250   | 5083.237   | 480.528   |
| 251   | 5270.708   | 478.036   |
| 252   | 5699.764   | 475.5     |
| 253   | 4870.753   | 472.94    |
| 254   | 4409.238   | 470.342   |
| 255   | 5507.978   | 467.717   |
| 256   | 6079.186   | 465.065   |
| 257   | 5254.675   | 462.381   |
| 258   | 5422.963   | 459.67    |
| 259   | 4555.928   | 456.931   |
| 260   | 5700.215   | 454.169   |
| 261   | 5234.513   | 451.382   |
| 262   | 5509.534   | 448.567   |
| 263   | 6088.044   | 445.728   |
| 264   | 4814.191   | 442.867   |
| 265   | 4152.562   | 439.986   |
| 266   | 5567.865   | 437.075   |
| 267   | 5072.891   | 434.149   |
| 268   | 5564.031   | 431.201   |
| 269   | 4783.514   | 428.233   |
| 270   | 4256.171   | 425.249   |
| 271   | 5566.21    | 422.243   |
| 272   | 5839.838   | 419.224   |
| 273   | 4864.321   | 416.185   |
| 274   | 5329.004   | 413.135   |
| 275   | 4649.968   | 410.069   |
| 276   | 4009.706   | 406.989   |
| 277   | 5559.627   | 403.896   |
| 278   | 4992.963   | 400.794   |
| 279   | 5087.996   | 397.676   |
| 280   | 4343.212   | 394.55    |
| 281   | 4697.718   | 391.413   |
| 282   | 4983.011   | 388.27    |
| 283   | 5518.384   | 385.117   |
| 284   | 4432.385   | 381.956   |
| 285   | 3725.675   | 378.788   |
| 286   | 4601.76    | 375.617   |
| 287   | 4446.379   | 372.441   |
